feature,importance,val_normal,val_anomalie,diff_pct
severity_score,1.1277,0.1184,0.3407,187.8
n_exceed,1.0027,0.7342,1.5553,111.8
courant_exceed,0.876,0.053,0.3663,590.8
courant_mean,0.8373,67.0264,39.4769,-41.1
courant_ratio_flotte,0.7981,1.2628,0.7586,-39.9
vibration_exceed,0.6586,0.0597,0.2799,369.1
courant_ratio,0.6264,0.8751,1.0201,16.6
vibration_ratio,0.5508,0.7027,0.8402,19.6
temperature_exceed,0.4898,0.1016,0.2799,175.4
temperature_ratio,0.3122,0.8631,0.902,4.5
temp_trend,0.3103,-0.0198,0.0435,320.2
temp_zscore_flotte,0.3002,-0.0948,0.2014,312.4
temp_ratio_flotte,0.2991,0.9873,1.0293,4.3
acceleration_ratio,0.2715,1.132,1.2916,14.1
health_score,0.2226,53.8877,50.8513,-5.6
acceleration_exceed,0.2201,0.5199,0.6293,21.0
vib_ratio_flotte,0.2042,0.984,1.0422,5.9
vib_zscore_flotte,0.1983,-0.06,0.1356,325.8
temp_mean,0.1857,34.8893,35.2199,0.9
vib_energy_mean,0.1688,0.5268,0.5383,2.2
vib_rms,0.159,0.7239,0.7321,1.1
envelope_mean,0.1551,0.7265,0.7344,1.1
peak2peak,0.0628,0.7429,0.7523,1.3
shape_factor,0.0452,1.0384,1.039,0.1
vib_skewness,0.0368,-0.0018,0.0154,956.0
vib_kurt,0.0322,-0.2959,-0.3205,-8.3
impulse_factor,0.0306,1.5352,1.5396,0.3
crest_factor,0.0262,1.4775,1.4808,0.2
spectral_entropy,0.0091,1.8931,1.8912,-0.1
