motor_id,rul_days,current_di,trend_slope,risk_level,last_timestamp
1,>90,0.0261,,FAIBLE,2025-05-24 16:45:00
2,>90,0.1459,,FAIBLE,2025-05-24 16:45:00
3,>90,0.19,,FAIBLE,2025-05-24 16:45:00
4,>90,0.3858,,MODÉRÉ,2025-05-24 16:45:00
5,>90,0.6231,,ÉLEVÉ,2025-05-24 16:45:00
6,>90,0.0459,,FAIBLE,2025-05-24 16:45:00
7,>90,0.2105,,FAIBLE,2025-05-24 16:45:00
8,>90,0.0556,,FAIBLE,2025-05-24 16:45:00
9,>90,0.0606,,FAIBLE,2025-05-24 16:45:00
10,>90,0.055,,FAIBLE,2025-05-24 16:45:00
11,>90,0.1195,,FAIBLE,2025-05-24 16:45:00
12,>90,0.1507,,FAIBLE,2025-05-24 16:45:00
13,>90,0.2831,,FAIBLE,2025-05-24 16:45:00
14,>90,0.0239,,FAIBLE,2025-05-24 16:45:00
15,>90,0.3053,,MODÉRÉ,2025-05-24 16:45:00
16,>90,0.1166,,FAIBLE,2025-05-24 16:45:00
17,>90,0.0309,,FAIBLE,2025-05-24 16:45:00
18,>90,0.4053,,MODÉRÉ,2025-05-24 16:45:00
19,>90,0.037,,FAIBLE,2025-05-24 16:45:00
20,>90,0.1299,,FAIBLE,2025-05-24 16:45:00
21,>90,0.5684,,ÉLEVÉ,2025-05-26 15:32:28
