measurement_id,motor_id,timestamp,temperature,courant,vibration,acceleration,thdi,thdu,vitesse,cosphi,Alert_Status,alert_parameter,alert_code
1,1,2025-04-08 07:00:00,38.4944,46.4445,0.786879,0.255013,0.0,0.0,1494.07,0.85,NORMAL,,
21,1,2025-04-08 07:15:00,45.3808,53.2178,0.517574,0.0697489,0.0,0.0,1493.61,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
41,1,2025-04-08 07:30:00,40.5721,56.111,0.87477,0.338697,0.0,0.0,1493.03,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
61,1,2025-04-08 07:45:00,35.6359,62.0516,0.84515,0.280913,0.0,0.0,1488.91,0.85,NORMAL,,
81,1,2025-04-08 08:00:00,29.7854,51.936,0.673631,0.470756,0.0,0.0,1494.24,0.85,NORMAL,,
101,1,2025-04-08 08:15:00,38.0424,49.6263,0.844894,0.236808,0.0,0.0,1501.55,0.85,NORMAL,,
121,1,2025-04-08 08:30:00,44.7394,61.3229,0.535893,0.0851793,0.0,0.0,1487.41,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
141,1,2025-04-08 08:45:00,36.2431,52.7094,0.578381,0.370708,0.0,0.0,1508.7,0.85,NORMAL,,
161,1,2025-04-08 09:00:00,41.1779,50.9609,1.1154,0.143973,0.0,0.0,1488.62,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
181,1,2025-04-08 09:15:00,37.4345,58.0836,0.893017,0.293166,0.0,0.0,1493.12,0.85,NORMAL,,
201,1,2025-04-08 09:30:00,34.6935,54.5624,0.753305,0.48257,0.0,0.0,1495.56,0.85,NORMAL,,
221,1,2025-04-08 09:45:00,36.9285,51.1675,0.910651,0.0509462,0.0,0.0,1494.39,0.85,NORMAL,,
241,1,2025-04-08 10:00:00,33.9302,60.5492,0.584859,0.241216,0.0,0.0,1495.21,0.85,NORMAL,,
261,1,2025-04-08 10:15:00,41.7445,55.7597,1.04897,0.360878,0.0,0.0,1492.17,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
281,1,2025-04-08 10:30:00,26.3452,56.1235,0.917181,0.438908,0.0,0.0,1497.08,0.85,NORMAL,,
301,1,2025-04-08 10:45:00,34.6082,60.0544,0.341336,0.242644,0.0,0.0,1493.28,0.85,NORMAL,,
321,1,2025-04-08 11:00:00,34.4306,60.3,0.640691,0.125807,0.0,0.0,1492.22,0.85,NORMAL,,
341,1,2025-04-08 11:15:00,33.3924,57.1102,0.510499,0.166431,0.0,0.0,1492.24,0.85,NORMAL,,
361,1,2025-04-08 11:30:00,33.2461,54.5815,0.66976,0.169958,0.0,0.0,1499.86,0.85,NORMAL,,
381,1,2025-04-08 11:45:00,35.1821,59.1155,0.648121,0.393734,0.0,0.0,1495.59,0.85,NORMAL,,
401,1,2025-04-08 12:00:00,42.6542,63.3243,0.877094,0.368911,0.0,0.0,1496.8,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
421,1,2025-04-08 12:15:00,35.3418,58.3642,0.55333,0.291662,0.0,0.0,1498.19,0.85,NORMAL,,
441,1,2025-04-08 12:30:00,32.0526,59.9658,0.444816,0.414284,0.0,0.0,1495.17,0.85,NORMAL,,
461,1,2025-04-08 12:45:00,31.849,66.8796,0.494242,0.296799,0.0,0.0,1495.48,0.85,ALERT,courant,ALERT_1_COURANT
481,1,2025-04-08 13:00:00,35.7538,57.8657,0.469869,0.314317,0.0,0.0,1489.22,0.85,NORMAL,,
501,1,2025-04-08 13:15:00,39.4147,67.599,0.769046,0.457543,0.0,0.0,1489.12,0.85,ALERT,courant,ALERT_1_COURANT
521,1,2025-04-08 13:30:00,37.9012,52.9404,0.846479,0.35185,0.0,0.0,1498.96,0.85,NORMAL,,
541,1,2025-04-08 13:45:00,37.4287,56.8888,0.695757,0.425436,0.0,0.0,1488.09,0.85,NORMAL,,
561,1,2025-04-08 14:00:00,33.2795,52.9336,1.24279,0.370907,0.0,0.0,1497.04,0.85,ALERT,vibration,ALERT_1_VIBRATION
581,1,2025-04-08 14:15:00,38.3293,42.4683,0.914344,0.387375,0.0,0.0,1484.5,0.85,NORMAL,,
601,1,2025-04-08 14:30:00,40.1328,60.894,0.61129,0.0957903,0.0,0.0,1496.47,0.85,ALERT,temperature,ALERT_1_TEMPERATURE
621,1,2025-04-08 14:45:00,34.5298,58.4192,0.892976,0.18099,0.0,0.0,1492.69,0.85,NORMAL,,
641,1,2025-04-08 15:00:00,33.8665,56.7936,0.936799,0.500745,0.0,0.0,1501.03,0.85,ALERT,acceleration,ALERT_1_ACCELERATION
