motor_id,timestamp,temperature,vibration,courant,score_if,score_rules,score_hybride,is_anomalie,di,niveau_risque,health_score,n_exceed,buffer_size
1,2026-02-25 01:36:19,35.04,0.6882,56.77,0.0,0.0,0.0,False,0.0,FAIBLE,50.0,0,1
5,2026-02-25 01:36:19,35.57,0.7032,22.53,0.0,0.0,0.0,False,0.0,FAIBLE,50.0,0,1
18,2026-02-25 01:36:19,33.92,0.9539,25.56,0.0,0.1593,0.1115,False,0.11152197890306603,FAIBLE,50.0,1,1
21,2026-02-25 01:36:19,74.58,1.3151,63.59,0.0,0.0,0.0,False,0.0,FAIBLE,50.0,0,1
1,2026-02-25 01:36:24,34.15,0.6867,55.38,0.0,0.0,0.0,False,0.0,FAIBLE,50.0,0,2
5,2026-02-25 01:36:24,34.57,0.699,24.17,0.0,0.0,0.0,False,0.0,FAIBLE,50.0,0,2
18,2026-02-25 01:36:24,35.7,0.654,25.09,0.0,0.0,0.0,False,0.0,FAIBLE,50.0,0,2
21,2026-02-25 01:36:24,74.54,1.349,62.06,0.0,0.0,0.0,False,0.0,FAIBLE,50.0,0,2
1,2026-02-25 01:36:29,35.16,0.6687,56.8,0.0,0.0,0.0,False,0.0,FAIBLE,79.5,0,3
5,2026-02-25 01:36:29,35.05,0.676,22.92,0.0,0.0,0.0,False,0.0,FAIBLE,79.0,0,3
1,2026-02-25 01:36:34,34.51,0.6747,59.08,0.0,0.0,0.0,False,0.0,FAIBLE,79.8,0,4
5,2026-02-25 01:36:34,35.38,0.6524,23.09,0.0,0.0,0.0,False,0.0,FAIBLE,79.1,0,4
5,2026-02-25 01:36:39,35.04,0.7002,22.48,0.0,0.0,0.0,False,0.0,FAIBLE,78.6,0,5
1,2026-02-25 01:36:44,34.94,0.6964,56.54,0.0,0.0,0.0,False,0.005,FAIBLE,78.1,0,6
5,2026-02-25 01:36:44,34.92,0.6824,23.28,0.0,0.0,0.0,False,0.0,FAIBLE,78.4,0,6
1,2026-02-25 01:36:49,34.99,0.673,57.01,0.0,0.0,0.0,False,0.004,FAIBLE,77.8,0,7
1,2026-02-25 01:36:54,34.48,0.7059,51.67,0.0,0.0,0.0,False,0.0033,FAIBLE,78.5,0,8
5,2026-02-25 01:36:54,35.34,0.6836,22.54,0.0,0.0,0.0,False,0.0023,FAIBLE,78.9,0,8
1,2026-02-25 01:36:59,34.69,0.7101,57.95,0.0,0.0,0.0,False,0.0028,FAIBLE,78.8,0,9
1,2026-02-25 01:37:05,35.25,0.7125,53.47,0.0,0.0,0.0,False,0.0024,FAIBLE,78.9,0,10
5,2026-02-25 01:37:05,35.93,0.7005,23.26,0.0,0.0,0.0,False,0.0051,FAIBLE,78.3,0,10
1,2026-02-25 01:37:10,34.73,0.6853,56.54,0.0,0.0,0.0,False,0.0021,FAIBLE,78.8,0,11
1,2026-02-25 01:37:15,34.34,0.6992,55.57,0.0,0.0,0.0,False,0.0019,FAIBLE,78.7,0,12
1,2026-02-25 01:37:20,35.05,0.6902,61.04,0.0,0.0,0.0,False,0.0017,FAIBLE,78.6,0,13
1,2026-02-25 01:37:25,34.19,0.7025,57.29,0.0,0.0,0.0,False,0.0016,FAIBLE,78.5,0,14
1,2026-02-25 01:37:30,34.99,0.692,55.46,0.0,0.0,0.0,False,0.0014,FAIBLE,78.4,0,15
1,2026-02-25 01:37:35,34.61,0.7047,58.63,0.0,0.0,0.0,False,0.0013,FAIBLE,78.3,0,16
1,2026-02-25 01:37:40,34.54,0.6938,59.27,0.0,0.0,0.0,False,0.0012,FAIBLE,78.2,0,17
1,2026-02-25 01:37:45,34.32,0.6662,57.6,0.0,0.0,0.0,False,0.0012,FAIBLE,78.4,0,18
1,2026-02-25 01:37:50,35.72,0.7103,57.02,0.0,0.0,0.0,False,0.0011,FAIBLE,78.4,0,19
1,2026-02-25 01:37:55,34.95,0.6957,59.1,0.0,0.0,0.0,False,0.001,FAIBLE,78.3,0,20
1,2026-02-25 01:38:05,35.21,0.6969,55.33,0.0,0.0,0.0,False,0.0016,FAIBLE,77.7,0,20
1,2026-02-25 01:38:10,35.29,0.6951,53.83,0.0,0.0,0.0,False,0.0015,FAIBLE,77.3,0,20
1,2026-02-25 01:38:15,35.27,0.7518,56.39,0.0,0.0,0.0,False,0.0015,FAIBLE,76.0,0,20
