motor_id,rul_days,current_di,trend_slope,risk_level,last_timestamp
1,>90,0.0247,,FAIBLE,2025-05-24 16:45:00
2,>90,0.2699,,FAIBLE,2025-05-24 16:45:00
3,>90,0.18,,FAIBLE,2025-05-24 16:45:00
4,>90,0.4702,,MODÉRÉ,2025-05-24 16:45:00
5,>90,0.4129,,MODÉRÉ,2025-05-24 16:45:00
6,>90,0.1987,,FAIBLE,2025-05-24 16:45:00
7,>90,0.1835,,FAIBLE,2025-05-24 16:45:00
8,>90,0.0501,,FAIBLE,2025-05-24 16:45:00
9,>90,0.0728,,FAIBLE,2025-05-24 16:45:00
10,>90,0.0668,,FAIBLE,2025-05-24 16:45:00
11,>90,0.216,,FAIBLE,2025-05-24 16:45:00
12,>90,0.117,,FAIBLE,2025-05-24 16:45:00
13,>90,0.2537,,FAIBLE,2025-05-24 16:45:00
14,>90,0.0418,,FAIBLE,2025-05-24 16:45:00
15,>90,0.2784,,FAIBLE,2025-05-24 16:45:00
16,>90,0.1028,,FAIBLE,2025-05-24 16:45:00
17,>90,0.0208,,FAIBLE,2025-05-24 16:45:00
18,>90,0.4522,,MODÉRÉ,2025-05-24 16:45:00
19,>90,0.1293,,FAIBLE,2025-05-24 16:45:00
20,>90,0.193,,FAIBLE,2025-05-24 16:45:00
21,>90,0.5534,,ÉLEVÉ,2025-05-26 15:32:28
