feature,importance,rank,importance_pct
severity_score,0.00265,1,13.7
n_exceed,0.00228,2,11.79
acceleration_exceed,0.002129,3,11.01
acceleration_ratio,0.001228,4,6.35
courant_mean,0.000828,5,4.28
courant_ratio_flotte,0.000792,6,4.09
vib_energy_mean,0.000709,7,3.67
vib_ratio_flotte,0.000702,8,3.63
health_score,0.000672,9,3.47
temperature_ratio,0.000661,10,3.42
vibration_ratio,0.00064,11,3.31
impulse_factor,0.000636,12,3.29
shape_factor,0.000602,13,3.11
peak2peak,0.000564,14,2.92
vib_zscore_flotte,0.000548,15,2.83
temp_ratio_flotte,0.000535,16,2.77
crest_factor,0.000507,17,2.62
envelope_mean,0.000472,18,2.44
vib_rms,0.000412,19,2.13
temp_zscore_flotte,0.00037,20,1.91
courant_ratio,0.0003,21,1.55
vibration_exceed,0.000277,22,1.43
courant_exceed,0.000193,23,1.0
vib_skewness,0.000182,24,0.94
vib_kurt,0.000178,25,0.92
temp_mean,0.000128,26,0.66
temp_trend,0.000113,27,0.58
spectral_entropy,3.3e-05,28,0.17
temperature_exceed,0.0,29,0.0
