motor_id,explanation,temperature_exceed,courant_exceed,vibration_exceed,acceleration_exceed,temperature_ratio,courant_ratio,vibration_ratio,acceleration_ratio,n_exceed,severity_score,vib_energy_mean,vib_kurt,crest_factor,temp_mean,temp_trend,courant_mean,envelope_mean,health_score,temp_ratio_flotte,vib_ratio_flotte,courant_ratio_flotte,temp_zscore_flotte,vib_zscore_flotte,vib_rms,vib_skewness,peak2peak,spectral_entropy,shape_factor,impulse_factor
2,temperature_exceed +45177330.3σ | n_exceed +1.1σ | acceleration_ratio +1.0σ,45177330.322,0.781,0.018,0.764,0.362,0.121,-0.057,1.017,1.116,1.007,0.012,0.039,0.156,0.042,0.124,-0.658,0.011,-0.091,0.341,0.159,-0.608,0.335,0.148,0.018,0.22,-0.008,-0.032,-0.073,0.131
3,temperature_exceed +43270775.3σ | courant_mean +1.5σ | courant_ratio_flotte +1.5σ,43270775.252,-0.144,0.015,0.779,0.356,0.139,-0.038,1.22,0.876,0.986,0.092,0.035,-0.209,0.066,0.091,1.522,0.086,0.008,0.344,0.188,1.49,0.327,0.171,0.086,-0.163,-0.109,-0.008,-0.129,-0.206
7,temperature_exceed +39943896.2σ | n_exceed +1.0σ | severity_score +0.9σ,39943896.236,0.625,0.017,0.696,0.371,0.136,-0.067,0.869,0.987,0.943,-0.045,0.053,-0.031,0.072,0.107,-0.508,-0.043,0.049,0.358,0.147,-0.467,0.348,0.143,-0.04,-0.101,0.004,-0.087,-0.001,-0.031
9,temperature_exceed +39068278.8σ | courant_mean +1.0σ | courant_ratio_flotte +1.0σ,39068278.806,-0.099,-0.018,0.568,0.338,0.127,-0.086,0.37,0.673,0.807,-0.148,-0.023,-0.042,-0.031,0.152,0.975,-0.145,0.196,0.327,0.118,0.962,0.316,0.111,-0.128,0.028,-0.124,0.052,-0.121,-0.057
12,temperature_exceed +46696839.9σ | courant_exceed +1.6σ | acceleration_ratio +1.4σ,46696839.895,1.59,0.027,0.787,0.331,0.11,-0.084,1.43,1.358,1.025,-0.061,0.124,0.185,-0.003,0.113,-1.202,-0.037,-0.01,0.319,0.121,-1.131,0.312,0.123,-0.05,-0.094,0.353,0.05,0.36,0.221
14,temperature_exceed +42180596.5σ | courant_exceed +1.6σ | n_exceed +1.4σ,42180596.509,1.616,0.793,0.435,0.376,0.13,0.568,0.261,1.352,0.741,0.071,-0.025,0.01,0.085,0.084,-1.244,0.071,-0.1,0.37,0.171,-1.169,0.354,0.169,0.067,0.037,-0.021,0.078,0.015,0.011
15,temperature_exceed +40093994.9σ | vibration_exceed +2.8σ | vibration_ratio +2.2σ,40093994.873,0.578,2.778,0.682,0.309,0.099,2.232,0.848,2.068,0.944,0.048,-0.113,-0.108,-0.058,0.123,-0.536,0.041,0.038,0.291,0.159,-0.494,0.281,0.149,0.05,-0.056,-0.055,-0.067,0.007,-0.099
16,temperature_exceed +42947261.2σ | n_exceed +0.7σ | courant_mean +0.6σ,42947261.163,-0.085,0.115,0.494,0.364,0.12,-0.01,0.238,0.692,0.26,0.193,0.041,0.249,0.021,0.137,0.616,0.181,-0.271,0.344,0.206,0.615,0.332,0.195,0.179,0.212,0.227,0.033,0.182,0.253
18,temperature_exceed +49817401.1σ | vibration_exceed +1.8σ | courant_exceed +1.8σ,49817401.125,1.814,1.815,-0.465,0.457,0.21,1.252,-0.536,1.112,0.63,0.09,-0.07,0.008,0.204,0.135,-1.188,0.082,-0.194,0.443,0.249,-1.111,0.434,0.232,0.09,0.123,-0.042,-0.012,-0.065,-0.003
20,temperature_exceed +46502323.8σ | courant_ratio +5.6σ | courant_exceed +5.2σ,46502323.761,5.236,0.053,0.683,0.388,5.574,-0.032,0.919,2.228,0.577,0.142,-0.07,0.038,0.097,0.149,-1.545,0.124,-0.176,0.364,0.189,-1.455,0.369,0.19,0.133,0.049,0.058,-0.033,0.029,0.04
