measurement_id,motor_id,timestamp,temperature,courant,vibration,acceleration,thdi,thdu,vitesse,cosphi,Alert_Status,alert_parameter,alert_code,vib_mean,vib_std,vib_max,vib_energy,vib_energy_mean,vib_kurt,crest_factor,temp_mean,temp_std,temp_trend,courant_mean,courant_std,envelope,envelope_mean,fft_max_amp,fft_dominant_freq,vib_rms,vib_skewness,peak2peak,spectral_entropy,shape_factor,impulse_factor,health_score
1,1,2025-04-08 07:00:00,38.4944,46.4445,0.786879,0.255013,0.0,0.0,1494.07,0.85,NORMAL,,,,0.0,,0.619178560641,,0.0,1.0,,0.0,0.0,,0.0,0.7868908552716576,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
21,1,2025-04-08 07:15:00,45.3808,53.2178,0.517574,0.0697489,0.0,0.0,1493.61,0.85,ALERT,temperature,ALERT_1_TEMPERATURE,,0.0,,0.267882845476,,0.0,1.0,,0.0,0.0,,0.0,0.522686802031543,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
41,1,2025-04-08 07:30:00,40.5721,56.111,0.87477,0.338697,0.0,0.0,1493.03,0.85,ALERT,temperature,ALERT_1_TEMPERATURE,0.7264076666666667,0.18611779125149036,0.87477,0.7652225529000001,0.5507613196723333,0.0,1.1787241025863864,41.48243333333333,3.5323018448786803,0.0,51.92443333333333,4.961340903761136,0.913958483883228,0.7411787137288095,0.0,0.0,0.7421329528274118,0.0,0.35719600000000007,0.0,1.0216480164798607,1.2042411430070612,57.2892117146957
61,1,2025-04-08 07:45:00,35.6359,62.0516,0.84515,0.280913,0.0,0.0,1488.91,0.85,NORMAL,,,0.7560932499999999,0.1631507183912573,0.87477,0.7142785224999999,0.5916406203792499,-0.8052725523233519,1.1372734175986974,40.0208,4.106530435781525,-1.338419999999999,54.456224999999996,6.484582629784284,0.8541611796996567,0.7694243302215213,0.33916200208307534,1.0,0.7691817863023344,-0.9893547376680566,0.35719600000000007,0.0,1.0173107421406338,1.15696046597829,39.924322335447094
81,1,2025-04-08 08:00:00,29.7854,51.936,0.673631,0.470756,0.0,0.0,1494.24,0.85,NORMAL,,,0.7396008000000001,0.1460261011555811,0.87477,0.45377872416099996,0.5640682411356,-0.9986977940984643,1.1647374936507071,37.97372,5.7965832002137265,-2.7162900000000043,53.95218,5.7277976327730045,0.6762114144799102,0.7507817470731991,0.37437707817098254,2.0,0.7510447663991807,-0.6715186966292416,0.35719600000000007,0.0,1.015473165231443,1.1827596709160406,41.820886187951075
101,1,2025-04-08 08:15:00,38.0424,49.6263,0.844894,0.236808,0.0,0.0,1501.55,0.85,NORMAL,,,0.7571496666666667,0.1375015421828667,0.87477,0.7138458712360001,0.5890311794856666,-0.5464139022564138,1.1397897260823027,37.985166666666665,5.18469744485314,-1.5423542857142853,53.2312,5.418948748604293,0.8459527371823823,0.766643578758063,0.4905479624267133,2.0,0.7674836672435881,-0.9542312765338299,0.35719600000000007,0.0,1.0136485559173103,1.1553462113980817,44.02168499222132
121,1,2025-04-08 08:30:00,44.7394,61.3229,0.535893,0.0851793,0.0,0.0,1487.41,0.85,ALERT,temperature,ALERT_1_TEMPERATURE,0.7255415714285715,0.15082792693757252,0.87477,0.28718130744899995,0.5459097691947142,-1.46362163639595,1.1839502319065611,38.95005714285714,5.377546071043046,-0.2403035714285707,54.38715714285714,5.815883111175564,0.5469649683936184,0.7352609201345709,0.5878965372193471,3.0,0.7388570695301725,-0.4716853747048234,0.35719600000000007,0.0,1.0183524936510953,1.205678672652655,40.108283241640116
141,1,2025-04-08 08:45:00,36.2431,52.7094,0.578381,0.370708,0.0,0.0,1508.7,0.85,NORMAL,,,0.7071465,0.14901753771476506,0.87477,0.33452458116100003,0.5194866206905,-1.6821197552543445,1.2136869899967764,38.6116875,5.069793956488766,-0.3857821428571438,54.177437499999996,5.4170364668034665,0.6777436394829287,0.7280712600531156,0.6558452335501195,3.0,0.7207542026866718,-0.16380497267109412,0.35719600000000007,0.7140957191479393,1.0192431153479917,1.2370421104579574,44.582046306080755
161,1,2025-04-08 09:00:00,41.1779,50.9609,1.1154,0.143973,0.0,0.0,1488.62,0.85,ALERT,temperature,ALERT_1_TEMPERATURE,0.7525080000000001,0.19480615844603064,1.1154,1.2441171599999998,0.6000011250582222,-0.664337433557669,1.4399738562161966,38.89682222222222,4.818887392795609,-0.0989666666666654,53.82004444444445,5.17936451099725,1.1354336189923275,0.7733337443796947,0.9324680652826669,3.0,0.7745973954631027,0.4006466298028346,0.597826,0.7850193506794789,1.0293543649153873,1.4822433761737503,32.33233045349085
181,1,2025-04-08 09:15:00,37.4345,58.0836,0.893017,0.293166,0.0,0.0,1493.12,0.85,NORMAL,,,0.7665588999999999,0.18896325807500838,1.1154,0.797479362289,0.6197489487812999,-0.7458239105266715,1.4168462994423463,38.75059,4.56676342098233,-0.15173878787878733,54.246399999999994,5.065862318609845,0.919661016431491,0.7879664715848744,0.8490433905959105,2.0,0.787241353576716,0.20031236097613322,0.597826,1.3571423359729875,1.026980904598114,1.455074096126111,29.324477518844194
201,1,2025-04-08 09:30:00,34.6935,54.5624,0.753305,0.48257,0.0,0.0,1495.56,0.85,NORMAL,,,0.765354,0.17931082297563636,1.1154,0.567468423025,0.6149961737125454,-0.5166506529685151,1.4223105542225796,38.38176363636364,4.501794873219509,-0.2982172727272717,54.27512727272727,4.806843324488725,0.753812380240935,0.7848615541899707,0.9161022274626421,4.0,0.7842169175123331,0.23103364850703934,0.597826,1.0739896102423119,1.0246460023566706,1.457364825352236,33.106166033231965
221,1,2025-04-08 09:45:00,36.9285,51.1675,0.910651,0.0509462,0.0,0.0,1494.39,0.85,NORMAL,,,0.7774620833333333,0.17603606613597336,1.1154,0.829285243801,0.6328535962199167,-0.5915502415475968,1.4021000779033466,38.26065833333333,4.312745888317206,-0.285292657342657,54.01615833333333,4.670117730549946,0.923539895845899,0.7964180826612982,1.0615348217218312,4.0,0.795520959007314,0.05855150203483597,0.597826,1.2435814986829914,1.0232279811940488,1.434668033948492,30.30889842529386
241,1,2025-04-08 10:00:00,33.9302,60.5492,0.584859,0.241216,0.0,0.0,1495.21,0.85,NORMAL,,,0.7626464615384615,0.1768045238055366,1.1154,0.34206004988100003,0.6104848618861538,-0.6932055772300951,1.4275561191864528,37.92754615384616,4.300270234069672,-0.3669208791208769,54.5187,4.824481868207888,0.5876038260616604,0.780355447538249,0.9273919526161234,5.0,0.781335306949682,0.2029826951780367,0.597826,1.5793773082912739,1.0245052528651544,1.4625387447381604,31.05724682904655
261,1,2025-04-08 10:15:00,41.7445,55.7597,1.04897,0.360878,0.0,0.0,1492.17,0.85,ALERT,temperature,ALERT_1_TEMPERATURE,0.7830981428571429,0.18630897549949205,1.1154,1.1003380609,0.6454743761014285,-0.9475599170902727,1.3883249750653002,38.200185714285716,4.255642165020844,-0.1844808791208819,54.607342857142854,4.647063413302293,1.0576241613360198,0.8001603556666613,1.321489603684736,5.0,0.8034141995891214,0.10617500322370879,0.597826,1.3204282519668051,1.0259431795252534,1.4243425409056742,25.47870795221573
281,1,2025-04-08 10:30:00,26.3452,56.1235,0.917181,0.438908,0.0,0.0,1497.08,0.85,NORMAL,,,0.792037,0.18283933455476306,1.1154,0.841220986761,0.6585241501454,-0.9452561608556453,1.3745001334821867,37.40985333333333,5.117251496355478,-0.4462653571428556,54.708420000000004,4.495101003346391,1.0806607055982311,0.8188603789954326,1.1134850428257892,3.0,0.8114950093163852,-0.018741790602605866,0.597826,1.518818591351047,1.0245670445848087,1.408267541278668,26.37106874172212
301,1,2025-04-08 10:45:00,34.6082,60.0544,0.341336,0.242644,0.0,0.0,1493.28,0.85,NORMAL,,,0.7638681875,0.20951671231422686,1.1154,0.11651026489599998,0.6246482823173125,-0.6403137463004103,1.411278952367981,37.23475,4.993104330574317,-0.4293138235294123,55.04254375,4.543686797446726,0.39404754292718874,0.7923095767411673,1.578473142990951,6.0,0.7903469379439086,-0.27773641468350896,0.774064,1.5659195554334209,1.0346640295309388,1.4601995694967995,30.09421141673882
321,1,2025-04-08 11:00:00,34.4306,60.3,0.640691,0.125807,0.0,0.0,1492.22,0.85,NORMAL,,,0.7566224705882353,0.20505165562216196,1.1154,0.410484957481,0.6120504396798824,-0.6239531233371949,1.4257291609408629,37.0698,4.8821554891256795,-0.4127448529411764,55.35180588235294,4.580469816169324,0.6416569341131309,0.7834476565865769,1.7348919366622906,6.0,0.7823365258505335,-0.18186343626948584,0.774064,1.4314312925185386,1.033985316624712,1.4741830197808565,31.590377165776506
341,1,2025-04-08 11:15:00,33.3924,57.1102,0.510499,0.166431,0.0,0.0,1492.24,0.85,NORMAL,,,0.7429489444444444,0.20721547333760126,1.1154,0.26060922900100003,0.5925259279755,-0.7839216968536631,1.4490286088351987,36.8655,4.815044153850452,-0.4120904024767799,55.44949444444445,4.462994475286511,0.5116543995118906,0.7683480311935388,1.231204260568302,7.0,0.7697570577627073,-0.06298627872001909,0.774064,1.995300451450283,1.0360833843060722,1.5013144669486667,31.145334209611494
361,1,2025-04-08 11:30:00,33.2461,54.5815,0.66976,0.169958,0.0,0.0,1499.86,0.85,NORMAL,,,0.739096894736842,0.2020760287031412,1.1154,0.44857845760000004,0.5849497453241579,-0.6949134551330403,1.4583822218012081,36.67500526315789,4.752482586147731,-0.4074252631578951,55.40381052631579,4.341819867021296,0.6720378390559221,0.7632790737126116,1.7560924810041074,7.0,0.764820073824006,-0.007993344372669669,0.774064,1.5756818786466391,1.034803526081001,1.5091390674669292,34.29633746463853
381,1,2025-04-08 11:45:00,35.1821,59.1155,0.648121,0.393734,0.0,0.0,1495.59,0.85,NORMAL,,,0.7345480999999999,0.197735571371652,1.1154,0.4200608306409999,0.5767052995899999,-0.6201165739310306,1.468769577382742,36.60036,4.637756722858698,-0.3705488721804521,55.589395,4.30674503082084,0.6504046531063661,0.7576353526822993,1.6001717710963872,7.0,0.7594111531904176,0.05748908266364726,0.774064,1.8150423675888319,1.0338480926661844,1.5184846281428206,36.60230955445801
401,1,2025-04-08 12:00:00,42.6542,63.3243,0.877094,0.368911,0.0,0.0,1496.8,0.85,ALERT,temperature,ALERT_1_TEMPERATURE,0.7390588499999999,0.20000811045772882,1.1154,0.769293884836,0.58421106579975,-0.7160640021499756,1.4593039235919305,36.80835,4.8169839625291635,-0.25415954887218145,56.433385,4.067627466029151,0.8782800147033362,0.7622048106538833,1.6200983295669698,7.0,0.7643370106175351,0.004704062758448873,0.774064,1.8704868013841698,1.034203175543236,1.5092167538360217,33.27949528353238
421,1,2025-04-08 12:15:00,35.3418,58.3642,0.55333,0.291662,0.0,0.0,1498.19,0.85,NORMAL,,,0.7408466499999999,0.19807459826706839,1.1154,0.3061740889,0.5861256279709499,-0.6701685673916278,1.456918587363395,36.306400000000004,4.379907168326503,-0.13975578947368483,56.690705,4.01595540752594,0.6249090136268907,0.7673159212336507,1.5869262740921584,7.0,0.7655884194336732,0.008040299956861717,0.774064,1.8888151707181218,1.0333966123762275,1.50557473465585,36.808129292990486
