feature,importance,rank,importance_pct
n_exceed,0.001716,1,10.7
acceleration_ratio,0.000958,2,5.98
severity_score,0.000946,3,5.9
acceleration_exceed,0.000853,4,5.32
vibration_ratio,0.000724,5,4.52
courant_mean,0.000722,6,4.5
courant_ratio_flotte,0.000721,7,4.5
temperature_ratio,0.00072,8,4.49
vib_zscore_flotte,0.000647,9,4.04
vib_energy_mean,0.000645,10,4.02
shape_factor,0.000634,11,3.95
temp_ratio_flotte,0.000625,12,3.9
impulse_factor,0.000613,13,3.82
vib_ratio_flotte,0.000603,14,3.76
peak2peak,0.000599,15,3.74
temp_zscore_flotte,0.000597,16,3.72
health_score,0.000592,17,3.69
crest_factor,0.000562,18,3.51
vibration_exceed,0.000556,19,3.47
envelope_mean,0.000494,20,3.08
courant_ratio,0.000366,21,2.28
vib_rms,0.000344,22,2.15
vib_skewness,0.000235,23,1.47
vib_kurt,0.000172,24,1.07
temp_trend,0.000166,25,1.04
temp_mean,0.000135,26,0.84
courant_exceed,5.7e-05,27,0.36
spectral_entropy,3e-05,28,0.19
temperature_exceed,0.0,29,0.0
