feature,importance,rank,importance_pct
n_exceed,0.001689,1,10.55
acceleration_ratio,0.000945,2,5.9
severity_score,0.000936,3,5.85
acceleration_exceed,0.000852,4,5.32
vibration_ratio,0.000741,5,4.63
courant_ratio_flotte,0.000727,6,4.54
temperature_ratio,0.000724,7,4.52
courant_mean,0.000713,8,4.45
vib_zscore_flotte,0.000648,9,4.05
shape_factor,0.000639,10,3.99
vib_energy_mean,0.000639,11,3.99
temp_ratio_flotte,0.000626,12,3.91
impulse_factor,0.000608,13,3.8
health_score,0.000605,14,3.78
vib_ratio_flotte,0.000602,15,3.76
peak2peak,0.000599,16,3.74
temp_zscore_flotte,0.000589,17,3.68
crest_factor,0.000572,18,3.57
vibration_exceed,0.00057,19,3.56
envelope_mean,0.000494,20,3.09
courant_ratio,0.00037,21,2.31
vib_rms,0.000339,22,2.12
vib_skewness,0.000232,23,1.45
vib_kurt,0.000179,24,1.12
temp_trend,0.000161,25,1.01
temp_mean,0.000128,26,0.8
courant_exceed,5.5e-05,27,0.34
spectral_entropy,2.7e-05,28,0.17
temperature_exceed,0.0,29,0.0
