feature,importance,rank,importance_pct
n_exceed,0.001696,1,10.59
severity_score,0.000926,2,5.78
acceleration_ratio,0.000921,3,5.75
acceleration_exceed,0.000861,4,5.38
temperature_ratio,0.000734,5,4.58
vibration_ratio,0.000734,6,4.58
courant_mean,0.000731,7,4.56
courant_ratio_flotte,0.000723,8,4.51
vib_energy_mean,0.000649,9,4.05
vib_zscore_flotte,0.000645,10,4.03
shape_factor,0.000639,11,3.99
temp_ratio_flotte,0.000637,12,3.98
impulse_factor,0.00061,13,3.81
vib_ratio_flotte,0.000603,14,3.76
health_score,0.000597,15,3.73
peak2peak,0.000594,16,3.71
temp_zscore_flotte,0.000576,17,3.6
vibration_exceed,0.000565,18,3.53
crest_factor,0.000554,19,3.46
envelope_mean,0.0005,20,3.12
courant_ratio,0.000367,21,2.29
vib_rms,0.00034,22,2.12
vib_skewness,0.000226,23,1.41
vib_kurt,0.000173,24,1.08
temp_trend,0.000163,25,1.02
temp_mean,0.000139,26,0.87
courant_exceed,7.8e-05,27,0.49
spectral_entropy,3.5e-05,28,0.22
temperature_exceed,0.0,29,0.0
