feature,importance,val_normal,val_anomalie,diff_pct
severity_score,1.3273,0.222,0.8153,267.2
n_exceed,1.121,0.3313,1.2492,277.1
acceleration_exceed,1.0996,0.1618,0.7084,337.8
acceleration_ratio,1.0025,0.7588,1.3482,77.7
courant_mean,0.6968,74.9629,52.067,-30.5
courant_ratio_flotte,0.6726,1.4106,0.9857,-30.1
courant_exceed,0.4493,0.0353,0.196,455.5
vibration_exceed,0.3609,0.0416,0.1623,289.8
vibration_ratio,0.2988,0.692,0.7666,10.8
courant_ratio,0.2539,0.8781,0.9369,6.7
temperature_exceed,0.2473,0.0926,0.1825,97.2
temp_trend,0.1614,-0.0237,0.0092,139.0
temperature_ratio,0.1603,0.8609,0.8809,2.3
temp_ratio_flotte,0.1536,0.9849,1.0065,2.2
temp_zscore_flotte,0.1522,-0.1103,0.0398,136.1
health_score,0.1011,54.1023,52.7399,-2.5
vib_ratio_flotte,0.1004,0.9816,1.0102,2.9
vib_zscore_flotte,0.0981,-0.0686,0.0282,141.2
temp_mean,0.0904,34.9549,35.0694,0.3
vib_rms,0.0799,0.7235,0.7276,0.6
impulse_factor,0.0645,1.5299,1.5392,0.6
crest_factor,0.0637,1.4727,1.4808,0.5
vib_skewness,0.0576,-0.0158,0.0112,170.8
peak2peak,0.0572,0.7397,0.7482,1.2
vib_energy_mean,0.0503,0.5287,0.532,0.6
shape_factor,0.0473,1.0382,1.0388,0.1
envelope_mean,0.0457,0.7284,0.7304,0.3
spectral_entropy,0.0154,1.8947,1.8916,-0.2
vib_kurt,0.0018,-0.3026,-0.3039,-0.4
