feature,importance,rank,importance_pct
n_exceed,0.001699,1,10.6
acceleration_ratio,0.000943,2,5.88
severity_score,0.00092,3,5.74
acceleration_exceed,0.000853,4,5.32
temperature_ratio,0.000746,5,4.65
vibration_ratio,0.000738,6,4.6
courant_ratio_flotte,0.000726,7,4.53
courant_mean,0.000714,8,4.45
vib_energy_mean,0.000654,9,4.08
vib_zscore_flotte,0.000653,10,4.07
shape_factor,0.000647,11,4.04
temp_ratio_flotte,0.000634,12,3.96
vib_ratio_flotte,0.000612,13,3.82
health_score,0.000606,14,3.78
impulse_factor,0.000601,15,3.75
peak2peak,0.000598,16,3.73
temp_zscore_flotte,0.000591,17,3.69
vibration_exceed,0.000571,18,3.56
crest_factor,0.000558,19,3.48
envelope_mean,0.00049,20,3.06
courant_ratio,0.000365,21,2.28
vib_rms,0.000342,22,2.13
vib_skewness,0.00022,23,1.37
vib_kurt,0.000169,24,1.05
temp_trend,0.00016,25,1.0
temp_mean,0.000137,26,0.85
courant_exceed,5.7e-05,27,0.36
spectral_entropy,2.4e-05,28,0.15
temperature_exceed,0.0,29,0.0
