feature,importance,rank,importance_pct
n_exceed,0.001701,1,10.58
severity_score,0.000942,2,5.86
acceleration_ratio,0.000929,3,5.78
acceleration_exceed,0.000849,4,5.28
temperature_ratio,0.000739,5,4.6
vibration_ratio,0.000732,6,4.56
courant_ratio_flotte,0.000718,7,4.47
courant_mean,0.000717,8,4.46
vib_zscore_flotte,0.000661,9,4.11
vib_energy_mean,0.000645,10,4.01
shape_factor,0.000644,11,4.01
temp_ratio_flotte,0.000629,12,3.91
vib_ratio_flotte,0.000624,13,3.88
impulse_factor,0.000608,14,3.78
peak2peak,0.000605,15,3.76
health_score,0.00059,16,3.67
temp_zscore_flotte,0.000585,17,3.64
vibration_exceed,0.000569,18,3.54
crest_factor,0.000567,19,3.53
envelope_mean,0.000496,20,3.09
courant_ratio,0.000377,21,2.35
vib_rms,0.000347,22,2.16
vib_skewness,0.000226,23,1.41
vib_kurt,0.000174,24,1.08
temp_trend,0.000158,25,0.98
temp_mean,0.000135,26,0.84
courant_exceed,7e-05,27,0.44
spectral_entropy,3.3e-05,28,0.21
temperature_exceed,0.0,29,0.0
