feature,importance,rank,importance_pct
n_exceed,0.001688,1,10.55
acceleration_ratio,0.000939,2,5.87
severity_score,0.000926,3,5.79
acceleration_exceed,0.000845,4,5.28
temperature_ratio,0.000739,5,4.62
vibration_ratio,0.000732,6,4.57
courant_mean,0.000721,7,4.5
courant_ratio_flotte,0.000709,8,4.43
vib_zscore_flotte,0.000649,9,4.05
vib_energy_mean,0.000645,10,4.03
shape_factor,0.000638,11,3.99
temp_ratio_flotte,0.000632,12,3.95
vib_ratio_flotte,0.000616,13,3.85
impulse_factor,0.000611,14,3.82
temp_zscore_flotte,0.000591,15,3.69
peak2peak,0.00059,16,3.69
health_score,0.000585,17,3.65
crest_factor,0.000578,18,3.61
vibration_exceed,0.000556,19,3.47
envelope_mean,0.000498,20,3.11
courant_ratio,0.000373,21,2.33
vib_rms,0.000344,22,2.15
vib_skewness,0.000223,23,1.39
vib_kurt,0.000168,24,1.05
temp_trend,0.000156,25,0.97
temp_mean,0.000141,26,0.88
courant_exceed,8e-05,27,0.5
spectral_entropy,3.3e-05,28,0.21
temperature_exceed,0.0,29,0.0
