feature,importance,rank,importance_pct
n_exceed,0.00166,1,10.41
severity_score,0.000949,2,5.95
acceleration_ratio,0.000916,3,5.74
acceleration_exceed,0.000842,4,5.28
vibration_ratio,0.000739,5,4.63
courant_mean,0.000738,6,4.63
temperature_ratio,0.000732,7,4.59
courant_ratio_flotte,0.000726,8,4.55
vib_energy_mean,0.000649,9,4.07
shape_factor,0.000638,10,4.0
vib_zscore_flotte,0.000635,11,3.98
temp_ratio_flotte,0.000621,12,3.89
impulse_factor,0.000608,13,3.81
peak2peak,0.000604,14,3.79
vib_ratio_flotte,0.000604,15,3.79
temp_zscore_flotte,0.00059,16,3.7
health_score,0.000589,17,3.69
vibration_exceed,0.000564,18,3.54
crest_factor,0.000557,19,3.49
envelope_mean,0.000497,20,3.12
courant_ratio,0.000368,21,2.31
vib_rms,0.000338,22,2.12
vib_skewness,0.000222,23,1.39
vib_kurt,0.000168,24,1.05
temp_trend,0.000163,25,1.02
temp_mean,0.000142,26,0.89
courant_exceed,6.6e-05,27,0.41
spectral_entropy,2.8e-05,28,0.18
temperature_exceed,0.0,29,0.0
