feature,importance,val_normal,val_anomalie,diff_pct
severity_score,1.1283,0.1185,0.3409,187.8
n_exceed,1.0039,0.7344,1.5564,111.9
courant_exceed,0.8776,0.053,0.3669,591.9
courant_mean,0.841,67.1192,39.4854,-41.2
courant_ratio_flotte,0.7978,1.2624,0.7584,-39.9
vibration_exceed,0.6543,0.0602,0.279,363.2
courant_ratio,0.6279,0.8751,1.0205,16.6
vibration_ratio,0.5469,0.7031,0.8396,19.4
temperature_exceed,0.491,0.1016,0.2803,175.9
temperature_ratio,0.3132,0.8631,0.9021,4.5
temp_trend,0.309,-0.0197,0.0434,320.8
temp_zscore_flotte,0.3012,-0.095,0.2022,313.0
temp_ratio_flotte,0.3,0.9872,1.0294,4.3
acceleration_ratio,0.2742,1.1316,1.2928,14.2
health_score,0.2411,54.1345,50.8863,-6.0
temp_mean,0.2262,34.948,35.2343,0.8
acceleration_exceed,0.2227,0.5196,0.6303,21.3
vib_ratio_flotte,0.2015,0.9843,1.0417,5.8
vib_zscore_flotte,0.1953,-0.059,0.1336,326.5
vib_energy_mean,0.1625,0.5277,0.5384,2.0
vib_rms,0.1565,0.724,0.732,1.1
envelope_mean,0.1562,0.7277,0.7346,0.9
peak2peak,0.0616,0.743,0.7522,1.2
shape_factor,0.0444,1.0384,1.039,0.1
vib_skewness,0.0377,-0.0019,0.0157,917.7
vib_kurt,0.0313,-0.2961,-0.32,-8.1
impulse_factor,0.0305,1.5352,1.5396,0.3
crest_factor,0.0262,1.4775,1.4808,0.2
spectral_entropy,0.0076,1.893,1.8914,-0.1
