feature,importance,rank,importance_pct
n_exceed,0.001678,1,10.5
acceleration_ratio,0.000948,2,5.93
severity_score,0.000918,3,5.75
acceleration_exceed,0.00087,4,5.44
temperature_ratio,0.000738,5,4.62
vibration_ratio,0.000735,6,4.6
courant_mean,0.000733,7,4.59
courant_ratio_flotte,0.000725,8,4.54
vib_zscore_flotte,0.000653,9,4.09
shape_factor,0.000638,10,3.99
vib_energy_mean,0.000636,11,3.98
temp_ratio_flotte,0.000634,12,3.97
impulse_factor,0.000612,13,3.83
vib_ratio_flotte,0.000612,14,3.83
temp_zscore_flotte,0.000597,15,3.74
health_score,0.000593,16,3.71
peak2peak,0.000579,17,3.62
crest_factor,0.000564,18,3.53
vibration_exceed,0.000554,19,3.47
envelope_mean,0.000489,20,3.06
courant_ratio,0.000365,21,2.28
vib_rms,0.000341,22,2.13
vib_skewness,0.000218,23,1.36
vib_kurt,0.000171,24,1.07
temp_trend,0.000159,25,1.0
temp_mean,0.000133,26,0.83
courant_exceed,5.9e-05,27,0.37
spectral_entropy,2.7e-05,28,0.17
temperature_exceed,0.0,29,0.0
