motor_id,cusum_alarm,change_point_idx,change_point_date,n_alarms,di_before,di_after,cusum_max,severity
1,True,59.0,2025-04-09,1525,0.0412,0.0695,25.7121,ÉLEVÉ
2,True,22.0,2025-04-08,1609,0.0703,0.1528,117.3013,ÉLEVÉ
3,True,27.0,2025-04-08,1612,0.0918,0.3473,326.9422,ÉLEVÉ
4,True,49.0,2025-04-09,1528,0.0575,0.2169,208.064,ÉLEVÉ
5,True,24.0,2025-04-08,1610,0.1432,0.2265,73.3792,ÉLEVÉ
6,True,49.0,2025-04-09,1405,0.1823,0.1654,13.746,ÉLEVÉ
7,True,11.0,2025-04-08,1146,0.2036,0.1809,9.2719,ÉLEVÉ
8,True,33.0,2025-04-08,1600,0.0735,0.2051,185.086,ÉLEVÉ
9,True,130.0,2025-04-11,952,0.0457,0.0776,22.3911,ÉLEVÉ
10,True,21.0,2025-04-08,1619,0.0164,0.1096,137.488,ÉLEVÉ
11,True,33.0,2025-04-08,1586,0.0538,0.1273,80.9453,ÉLEVÉ
12,True,187.0,2025-04-12,1306,0.1302,0.1937,25.1688,ÉLEVÉ
13,True,14.0,2025-04-08,1559,0.1548,0.2329,100.9812,ÉLEVÉ
14,True,186.0,2025-04-12,312,0.0947,0.0965,12.919,ÉLEVÉ
15,True,30.0,2025-04-08,1610,0.044,0.205,234.3414,ÉLEVÉ
16,True,66.0,2025-04-09,1574,0.05,0.1809,193.1231,ÉLEVÉ
17,True,32.0,2025-04-08,1608,0.0521,0.165,145.1724,ÉLEVÉ
18,True,44.0,2025-04-09,908,0.3613,0.332,2.1277,ÉLEVÉ
19,True,33.0,2025-04-08,1602,0.0953,0.1195,26.079,ÉLEVÉ
20,True,56.0,2025-04-09,1584,0.0703,0.1405,75.5123,ÉLEVÉ
21,False,,,0,,,0.0,STABLE
