motor_id,rul_days,rul_ensemble,rul_low,rul_high,rul_poly,rul_exp,rul_weibull,weibull_beta,current_di,trend_slope,risk_level,confidence,n_points,last_timestamp
1,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0244,,FAIBLE,0.614,1640,2025-05-24 16:45:00
2,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2355,,FAIBLE,0.614,1640,2025-05-24 16:45:00
3,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1857,,FAIBLE,0.614,1640,2025-05-24 16:45:00
4,43.8,43.8,6.7,80.9,0.0,90.0,56.1,1.0,0.4662,,MODÉRÉ,0.586,1640,2025-05-24 16:45:00
5,46.4,46.4,8.5,84.3,0.0,90.0,64.8,1.0,0.4393,,MODÉRÉ,0.6,1640,2025-05-24 16:45:00
6,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1662,,FAIBLE,0.614,1640,2025-05-24 16:45:00
7,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1889,,FAIBLE,0.614,1640,2025-05-24 16:45:00
8,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.05,,FAIBLE,0.614,1640,2025-05-24 16:45:00
9,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0658,,FAIBLE,0.614,1640,2025-05-24 16:45:00
10,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0621,,FAIBLE,0.614,1640,2025-05-24 16:45:00
11,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2036,,FAIBLE,0.614,1640,2025-05-24 16:45:00
12,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1171,,FAIBLE,0.614,1640,2025-05-24 16:45:00
13,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2566,,FAIBLE,0.614,1640,2025-05-24 16:45:00
14,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0384,,FAIBLE,0.614,1640,2025-05-24 16:45:00
15,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2841,,FAIBLE,0.614,1640,2025-05-24 16:45:00
16,40.1,40.1,3.3,76.8,0.0,43.5,90.0,1.0,0.0968,,FAIBLE,0.552,1640,2025-05-24 16:45:00
17,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0136,,FAIBLE,0.614,1640,2025-05-24 16:45:00
18,47.1,47.1,8.9,85.2,0.0,90.0,66.9,1.0,0.4331,,MODÉRÉ,0.603,1640,2025-05-24 16:45:00
19,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1228,,FAIBLE,0.614,1640,2025-05-24 16:45:00
20,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1755,,FAIBLE,0.614,1640,2025-05-24 16:45:00
21,1.9,1.9,0.0,3.9,0.0,1.6,4.8,1.0,0.5944,,CRITIQUE,0.659,10,2025-05-26 15:32:28
