motor_id,cusum_alarm,change_point_idx,change_point_date,n_alarms,di_before,di_after,cusum_max,severity
1,True,60.0,2025-04-09,1499,0.0855,0.1051,20.6426,ÉLEVÉ
2,True,44.0,2025-04-09,1596,0.2029,0.2687,96.9256,ÉLEVÉ
3,True,33.0,2025-04-08,1607,0.1857,0.434,314.2435,ÉLEVÉ
4,True,40.0,2025-04-09,1545,0.0663,0.2186,188.4648,ÉLEVÉ
5,True,54.0,2025-04-09,788,0.3175,0.3241,15.5514,ÉLEVÉ
6,True,50.0,2025-04-09,1055,0.2454,0.2365,11.9742,ÉLEVÉ
7,True,14.0,2025-04-08,238,0.4269,0.3684,5.6787,ÉLEVÉ
8,True,33.0,2025-04-08,1587,0.0816,0.21,183.7924,ÉLEVÉ
9,True,193.0,2025-04-12,1258,0.1352,0.1673,26.4447,ÉLEVÉ
10,True,24.0,2025-04-08,1616,0.0608,0.1502,136.8805,ÉLEVÉ
11,True,33.0,2025-04-08,1258,0.0955,0.144,16.6476,ÉLEVÉ
12,True,190.0,2025-04-12,1450,0.293,0.3518,45.193,ÉLEVÉ
13,True,14.0,2025-04-08,1588,0.2379,0.336,87.9074,ÉLEVÉ
14,True,188.0,2025-04-12,314,0.1751,0.1791,11.895,ÉLEVÉ
15,True,29.0,2025-04-08,1611,0.0666,0.2266,238.482,ÉLEVÉ
16,True,69.0,2025-04-09,1565,0.093,0.2168,168.4693,ÉLEVÉ
17,True,33.0,2025-04-08,1607,0.0925,0.1955,125.6647,ÉLEVÉ
18,True,164.0,2025-04-12,227,0.4669,0.446,2.0869,ÉLEVÉ
19,True,42.0,2025-04-09,1387,0.1305,0.1447,22.5305,ÉLEVÉ
20,True,57.0,2025-04-09,1583,0.1028,0.1696,70.7662,ÉLEVÉ
21,False,,,0,,,0.0,STABLE
