motor_id,rul_days,rul_ensemble,rul_low,rul_high,rul_poly,rul_exp,rul_weibull,weibull_beta,current_di,trend_slope,risk_level,confidence,n_points,poly_coef,last_timestamp
1,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.016,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
2,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1796,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
3,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1916,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
4,51.8,51.8,11.0,90.0,0.0,90.0,82.8,1.0,0.3922,,MODÉRÉ,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
5,53.8,53.8,11.5,90.0,0.0,90.0,89.3,1.0,0.3776,,MODÉRÉ,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
6,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1687,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
7,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1084,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
8,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.026,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
9,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0299,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
10,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0388,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
11,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1423,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
12,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0509,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
13,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1243,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
14,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0214,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
15,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2664,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
16,40.1,40.1,3.4,76.9,0.0,43.7,90.0,1.0,0.0576,,FAIBLE,0.553,1640,"[nan, nan, nan]",2025-05-24 16:45:00
17,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0063,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
18,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.3258,,MODÉRÉ,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
19,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1036,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
20,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1299,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
21,1.7,1.7,0.0,3.7,0.0,1.2,4.6,1.0,0.6013,,CRITIQUE,0.645,10,"[nan, nan, nan]",2025-05-26 15:32:28
